lon,lat,name,code
-37.25,-7.1,Patos,2510808
-37.2,-7.1,Cacimba de Areia,2503407
-37.15,-7.1,Cacimba de Areia,2503407
-37.1,-7.1,Cacimba de Areia,2503407
-37.05,-7.1,Passagem,2510709
-37.0,-7.1,Passagem,2510709
-36.95,-7.1,Areia de Baraúnas,2501153
-36.9,-7.1,Salgadinho,2513000
-36.85,-7.1,Salgadinho,2513000
-36.8,-7.1,Salgadinho,2513000
-36.75,-7.1,Assunção,2501351
-36.7,-7.1,Assunção,2501351
-36.65,-7.1,Juazeirinho,2507705
-36.6,-7.1,Juazeirinho,2507705
-36.55,-7.1,Juazeirinho,2507705
-36.5,-7.1,Juazeirinho,2507705
-36.45,-7.1,Soledade,2516102
-36.4,-7.1,Soledade,2516102
-36.35,-7.1,Soledade,2516102
-36.3,-7.1,Soledade,2516102
-36.25,-7.1,Soledade,2516102
-36.2,-7.1,Pocinhos,2512002
-36.15,-7.1,Pocinhos,2512002
-36.1,-7.1,Pocinhos,2512002
-36.05,-7.1,Pocinhos,2512002
-36.0,-7.1,Pocinhos,2512002
-35.95,-7.1,Montadas,2509503
-35.9,-7.1,Lagoa Seca,2508307
-35.85,-7.1,São Sebastião de Lagoa de Roça,2515104
-35.8,-7.1,Alagoa Nova,2500403
-35.75,-7.1,Alagoa Nova,2500403
-35.7,-7.1,Alagoa Grande,2500304
-35.65,-7.1,Alagoa Grande,2500304
-35.6,-7.1,Alagoa Grande,2500304
-35.55,-7.1,Alagoa Grande,2500304
-35.5,-7.1,Gurinhém,2506400
-35.45,-7.1,Gurinhém,2506400
-35.4,-7.1,Gurinhém,2506400
-35.35,-7.1,Caldas Brandão,2503803
-35.3,-7.1,Mari,2509107
-35.25,-7.1,Sapé,2515302
-35.2,-7.1,Sapé,2515302
-35.15,-7.1,Sapé,2515302
-35.1,-7.1,Cruz do Espírito Santo,2504900
-35.05,-7.1,Santa Rita,2513703
-35.0,-7.1,Santa Rita,2513703
-34.95,-7.1,Santa Rita,2513703
-34.9,-7.1,Bayeux,2501807
-34.85,-7.1,João Pessoa,2507507
-34.8,-7.1,João Pessoa,2507507
-38.7,-7.05,Cachoeira dos Índios,2503308
-38.65,-7.05,São José de Piranhas,2514503
-38.6,-7.05,Cajazeiras,2503704
-38.55,-7.05,São José de Piranhas,2514503
-38.5,-7.05,São José de Piranhas,2514503
-38.45,-7.05,São José de Piranhas,2514503
-38.4,-7.05,São José de Piranhas,2514503
-38.35,-7.05,Carrapateira,2504108
-38.3,-7.05,Aguiar,2500205
-38.25,-7.05,Aguiar,2500205
-38.2,-7.05,Aguiar,2500205
-38.15,-7.05,Aguiar,2500205
-38.1,-7.05,Aguiar,2500205
-38.05,-7.05,Coremas,2504801
-38.0,-7.05,Coremas,2504801
-37.95,-7.05,Coremas,2504801
-37.9,-7.05,Coremas,2504801
-37.85,-7.05,Coremas,2504801
-37.8,-7.05,Emas,2505907
-37.75,-7.05,Emas,2505907
-37.7,-7.05,Emas,2505907
-37.65,-7.05,Catingueira,2504207
-37.6,-7.05,Catingueira,2504207
-37.55,-7.05,Catingueira,2504207
-37.5,-7.05,Santa Teresinha,2513802
-37.45,-7.05,Santa Teresinha,2513802
-37.4,-7.05,Santa Teresinha,2513802
-37.35,-7.05,Patos,2510808
-37.3,-7.05,Patos,2510808
-37.25,-7.05,Patos,2510808
-37.2,-7.05,Quixaba,2512606
-37.15,-7.05,Quixaba,2512606
-37.1,-7.05,Quixaba,2512606
-37.05,-7.05,Quixaba,2512606
-37.0,-7.05,São Mamede,2514909
-36.95,-7.05,Areia de Baraúnas,2501153
-36.9,-7.05,Santa Luzia,2513406
-36.85,-7.05,Junco do Seridó,2507804
-36.8,-7.05,Salgadinho,2513000
-36.75,-7.05,Assunção,2501351
-36.7,-7.05,Assunção,2501351
-36.65,-7.05,Juazeirinho,2507705
-36.6,-7.05,Juazeirinho,2507705
-36.55,-7.05,Juazeirinho,2507705
-36.5,-7.05,Juazeirinho,2507705
-36.45,-7.05,Soledade,2516102
-36.4,-7.05,Soledade,2516102
-36.35,-7.05,Soledade,2516102
-36.3,-7.05,Soledade,2516102
-36.25,-7.05,Olivedos,2510501
-36.2,-7.05,Pocinhos,2512002
-36.15,-7.05,Pocinhos,2512002
-36.1,-7.05,Pocinhos,2512002
-36.05,-7.05,Pocinhos,2512002
-36.0,-7.05,Pocinhos,2512002
-35.95,-7.05,Areial,2501203
-35.9,-7.05,Esperança,2506004
-35.85,-7.05,Alagoa Nova,2500403
-35.8,-7.05,Alagoa Nova,2500403
-35.75,-7.05,Alagoa Nova,2500403
-35.7,-7.05,Alagoa Nova,2500403
-35.65,-7.05,Alagoa Grande,2500304
-35.6,-7.05,Alagoa Grande,2500304
-35.55,-7.05,Alagoa Grande,2500304
-35.5,-7.05,Alagoa Grande,2500304
-35.45,-7.05,Mulungu,2509800
-35.4,-7.05,Gurinhém,2506400
-35.35,-7.05,Mari,2509107
-35.3,-7.05,Mari,2509107
-35.25,-7.05,Mari,2509107
-35.2,-7.05,Sapé,2515302
-35.15,-7.05,Sapé,2515302
-35.1,-7.05,Santa Rita,2513703
-35.05,-7.05,Santa Rita,2513703
-35.0,-7.05,Santa Rita,2513703
-34.95,-7.05,Santa Rita,2513703
-34.9,-7.05,Santa Rita,2513703
-34.85,-7.05,Cabedelo,2503209
-38.75,-7.0,Cachoeira dos Índios,2503308
-38.7,-7.0,Cachoeira dos Índios,2503308
