lon,lat,name,code,WIND_SPEED,SOLAR_IRRAD
-36.55,-7.75,Caraúbas,2504074,2.8590228656079324,5.6104721736208125
-36.5,-7.75,Caraúbas,2504074,2.8593466561825505,5.60099566984483
-36.45,-7.75,Caraúbas,2504074,2.861315830859864,5.592054444995879
-36.4,-7.75,Barra de São Miguel,2501708,2.850713500341031,5.41192718014523
-36.35,-7.75,Barra de São Miguel,2501708,2.8588261073349472,5.413301194887995
-36.3,-7.75,Barra de São Miguel,2501708,2.8719750796692334,5.414334918933479
-36.25,-7.75,Barra de São Miguel,2501708,2.8904990400735695,5.4150171591015654
-36.2,-7.75,Barra de São Miguel,2501708,2.9140336960967264,5.415437676953863
-36.15,-7.75,Riacho de Santo Antônio,2512788,2.9415862108185404,5.4157728834632834
-36.1,-7.75,Alcantil,2500536,2.9718405079156778,5.416235635436046
-36.05,-7.75,Alcantil,2500536,3.0034665930816984,5.4170213448559466
-36.0,-7.75,Alcantil,2500536,3.0352935395067813,5.418267240703335
-35.95,-7.75,Santa Cecília,2513158,3.0663429712595476,5.420014137324698
-35.9,-7.75,Santa Cecília,2513158,3.0957498891995474,5.422134654629192
-35.85,-7.75,Santa Cecília,2513158,3.1225371706154865,5.424151781573194
-35.8,-7.75,Umbuzeiro,2517001,3.145267221540494,5.424949639946463
-38.65,-7.7,Santa Inês,2513356,2.2497337839600395,5.690518312482061
-38.6,-7.7,Santa Inês,2513356,2.2653079041880044,5.700223655630854
-38.55,-7.7,Santa Inês,2513356,2.2802450800372864,5.709895822639099
-38.5,-7.7,Santa Inês,2513356,2.2942414031749467,5.7194207022083745
-38.45,-7.7,Santa Inês,2513356,2.333485974013617,5.7705597287249555
-38.4,-7.7,Santana de Mangueira,2513505,2.339456874953324,5.779951361612771
-38.35,-7.7,Santana de Mangueira,2513505,2.343557758587438,5.7887925405921195
-38.3,-7.7,Santana de Mangueira,2513505,2.345225903285351,5.797008368965381
-38.25,-7.7,Manaíra,2509008,2.3441846179251504,5.804493844036986
-38.2,-7.7,Manaíra,2509008,2.363142461932638,5.93226179236722
-38.15,-7.7,Manaíra,2509008,2.371556606361125,5.934676856554778
-38.1,-7.7,São José de Princesa,2514552,2.380143810461212,5.937328541871912
-38.05,-7.7,Princesa Isabel,2512309,2.388877950967952,5.939969789019137
-38.0,-7.7,Princesa Isabel,2512309,2.433302077755068,5.918654005209963
-37.95,-7.7,Princesa Isabel,2512309,2.453537931200038,5.921488426796646
-37.9,-7.7,Princesa Isabel,2512309,2.47549477945465,5.924054368968821
-37.15,-7.7,Prata,2512200,2.950571198451087,5.77453347824748
-37.1,-7.7,Prata,2512200,2.940388365762316,5.7712377944036515
-37.05,-7.7,Prata,2512200,2.933534479194159,5.765384858079984
-37.0,-7.7,Sumé,2516300,2.928967551403235,5.757602267858707
-36.95,-7.7,Sumé,2516300,2.9253856867068473,5.748662700447997
-36.9,-7.7,Sumé,2516300,2.9217698427985144,5.73918421821771
-36.85,-7.7,Sumé,2516300,2.9174877336502307,5.729573808340112
-36.8,-7.7,Sumé,2516300,2.9122095440711453,5.7200754757450545
-36.75,-7.7,Serra Branca,2515500,2.905808543059289,5.710827835278572
-36.7,-7.7,Congo,2504702,2.8982919842419137,5.701906962307608
-36.65,-7.7,Congo,2504702,2.87987248529809,5.620281085837442
-36.6,-7.7,Coxixola,2504850,2.835337706478702,5.634274738102726
-36.55,-7.7,Caraúbas,2504074,2.8305852508285954,5.624623198676909
-36.5,-7.7,Caraúbas,2504074,2.827218038757364,5.615206718977703
-36.45,-7.7,Caraúbas,2504074,2.826050906503708,5.6060640463358204
-36.4,-7.7,Barra de São Miguel,2501708,2.8282403159914953,5.597248457044585
-36.35,-7.7,Barra de São Miguel,2501708,2.839790558814759,5.4168938382929435
-36.3,-7.7,Barra de São Miguel,2501708,2.852624698765874,5.417943293836967
-36.25,-7.7,Barra de São Miguel,2501708,2.8724144459035608,5.418369998177169
-36.2,-7.7,Barra de São Miguel,2501708,2.8986320112241386,5.418274852573572
-36.15,-7.7,Riacho de Santo Antônio,2512788,2.929682971266987,5.417906746657847
-36.1,-7.7,Alcantil,2500536,2.9635951739948054,5.4175535146526475
-36.05,-7.7,Alcantil,2500536,2.998564615158007,5.417449903883855
-36.0,-7.7,Alcantil,2500536,3.033138985813797,5.417730817648199
-35.95,-7.7,Santa Cecília,2513158,3.066180574765052,5.418400596485358
-35.9,-7.7,Santa Cecília,2513158,3.096747476534574,5.419286668039311
-35.85,-7.7,Santa Cecília,2513158,3.123959206687798,5.419977211623686
-35.8,-7.7,Umbuzeiro,2517001,3.1469748324702107,5.419854671651044
-35.75,-7.7,Umbuzeiro,2517001,3.1653328968838106,5.418463953075362
-35.7,-7.7,Umbuzeiro,2517001,3.234844041672546,5.239281919962097
-35.65,-7.7,Umbuzeiro,2517001,3.2665638686027405,5.226055409577938
-38.7,-7.65,Santa Inês,2513356,2.206697058084923,5.691623469492259
-38.65,-7.65,Santa Inês,2513356,2.2226499357624516,5.700857908918482
-38.6,-7.65,Santa Inês,2513356,2.2378905197377486,5.7103165698108045
-38.55,-7.65,Santa Inês,2513356,2.2522185842077724,5.7198815464329416
-38.5,-7.65,Conceição,2504405,2.299685840713833,5.773522973993307
-38.45,-7.65,Conceição,2504405,2.3054522819384626,5.7836384445938185
-38.4,-7.65,Santana de Mangueira,2513505,2.310184940499098,5.79330848606343
-38.35,-7.65,Santana de Mangueira,2513505,2.3134465156722053,5.802421082642185
-38.3,-7.65,Santana de Mangueira,2513505,2.314873179405145,5.81083921590699
-38.25,-7.65,Santana de Mangueira,2513505,2.31427808497847,5.818396737228247
-38.2,-7.65,Manaíra,2509008,2.311708342038588,5.8249129489963485
-38.15,-7.65,Manaíra,2509008,2.339250068582025,5.94633762081686
-38.1,-7.65,São José de Princesa,2514552,2.347883162441387,5.948325721814311
-38.05,-7.65,Princesa Isabel,2512309,2.3567822876838305,5.950205217469383
-38.0,-7.65,Princesa Isabel,2512309,2.396173518956328,5.976324405987718
-37.95,-7.65,Princesa Isabel,2512309,2.4541168348469826,5.940499163508984
-37.9,-7.65,Tavares,2516607,2.4869231675461174,5.9426394405496845
-37.85,-7.65,Tavares,2516607,2.521872967809642,5.944566557315426
-37.8,-7.65,Tavares,2516607,2.5582290589480547,5.946326372448945
-37.75,-7.65,Tavares,2516607,2.5953490221536955,5.94796031483799
-37.2,-7.65,Ouro Velho,2510600,2.975340427730152,5.77492124720362
-37.15,-7.65,Ouro Velho,2510600,2.962364872511057,5.7735991005852645
-37.1,-7.65,Prata,2512200,2.9515185858149824,5.7702257998828115
-37.05,-7.65,Prata,2512200,2.9428106185452823,5.764857597734223
-37.0,-7.65,Sumé,2516300,2.9357225306730275,5.757847848333377
-36.95,-7.65,Sumé,2516300,2.9294946752495608,5.7496842577876315
-36.9,-7.65,Sumé,2516300,2.9234145319038163,5.740827025521758
-36.85,-7.65,Sumé,2516300,2.916951068106714,5.731633709830985
-36.8,-7.65,Sumé,2516300,2.909766855243057,5.72235308154834
-36.75,-7.65,Serra Branca,2515500,2.9016826551183548,5.713146835171771
-36.7,-7.65,Coxixola,2504850,2.892638010326181,5.704115598764265
-36.65,-7.65,Coxixola,2504850,2.852800922433608,5.707405440534613
-36.6,-7.65,Coxixola,2504850,2.8282941646079833,5.629568262207955
-36.55,-7.65,Caraúbas,2504074,2.8217507274342566,5.619914466244088
-36.5,-7.65,Caraúbas,2504074,2.8161460143135413,5.610406514964639
-36.45,-7.65,São Domingos do Cariri,2513943,2.812297893972736,5.601090159025411
-36.4,-7.65,São Domingos do Cariri,2513943,2.811579761340967,5.592030856885384
-36.35,-7.65,Barra de São Miguel,2501708,2.8196485935772753,5.42034690282131
-36.3,-7.65,Barra de São Miguel,2501708,2.8315447062652908,5.4214440347061
-36.25,-7.65,Barra de São Miguel,2501708,2.852884579347192,5.421503840187858
-36.2,-7.65,Barra de São Miguel,2501708,2.8827964459003956,5.420665845687742
-36.15,-7.65,Riacho de Santo Antônio,2512788,2.9184599736435697,5.419346346243595
-36.1,-7.65,Alcantil,2500536,2.9568604687443614,5.417969750471792
-36.05,-7.65,Alcantil,2500536,2.9956664983189256,5.416827243929618
