lon,lat,name,code,elev,dist_coast
-38.1,-7.6,São José de Princesa,2514552,478.0,328.2420448747931
-38.05,-7.6,Princesa Isabel,2512309,498.0,322.7331072395667
-38.0,-7.6,Princesa Isabel,2512309,630.0,317.2246276703207
-37.95,-7.6,Tavares,2516607,698.0,311.71663045110193
-37.9,-7.6,Tavares,2516607,640.0,306.20914161100893
-37.85,-7.6,Tavares,2516607,722.0,300.7021890835864
-37.8,-7.6,Juru,2508000,747.0,295.19580288398123
-37.75,-7.6,Juru,2508000,784.0,289.69001530622876
-37.2,-7.6,Ouro Velho,2510600,602.0,229.17819714296445
-37.15,-7.6,Ouro Velho,2510600,600.0,223.6833428292599
-37.1,-7.6,Ouro Velho,2510600,591.0,218.1898647508466
-37.05,-7.6,Amparo,2500734,615.0,212.69786954236287
-37.0,-7.6,Amparo,2500734,589.0,207.20747511341293
-36.95,-7.6,Sumé,2516300,605.0,201.71881217436828
-36.9,-7.6,Sumé,2516300,555.0,196.23202601600912
-36.85,-7.6,Sumé,2516300,570.0,190.7472785934442
-36.8,-7.6,Serra Branca,2515500,529.0,185.26475097656703
-36.75,-7.6,Serra Branca,2515500,539.0,179.78464624422597
-36.7,-7.6,Coxixola,2504850,535.0,174.30719291830994
-36.65,-7.6,Coxixola,2504850,519.0,168.83264905849097
-36.6,-7.6,Coxixola,2504850,509.0,163.36130717003215
-36.55,-7.6,São João do Cariri,2514008,502.0,157.89350011841208
-36.5,-7.6,São João do Cariri,2514008,496.0,152.42960829882068
-36.45,-7.6,São Domingos do Cariri,2513943,472.0,146.97006838049774
-36.4,-7.6,São Domingos do Cariri,2513943,469.0,141.51538404198877
-36.35,-7.6,Barra de São Miguel,2501708,382.0,136.06613924295263
-36.3,-7.6,Barra de São Miguel,2501708,385.0,130.62301475452446
-36.25,-7.6,Barra de São Miguel,2501708,426.0,125.18680891286614
-36.2,-7.6,Boqueirão,2502508,444.0,119.75846389779542
-36.15,-7.6,Boqueirão,2502508,508.0,114.33909931287651
-36.1,-7.6,Boqueirão,2502508,372.0,108.93005551888689
-36.05,-7.6,Alcantil,2500536,354.0,103.53295014710393
-36.0,-7.6,Alcantil,2500536,323.0,98.14975264423894
-35.95,-7.6,Barra de Santana,2501575,364.0,92.78288381611834
-35.9,-7.6,Barra de Santana,2501575,396.0,87.43535052535894
-35.85,-7.6,Gado Bravo,2506251,394.0,82.11093058111776
-35.8,-7.6,Gado Bravo,2506251,324.0,76.81443046361174
-35.75,-7.6,Gado Bravo,2506251,339.0,71.55205057263136
-35.7,-7.6,Aroeiras,2501302,330.0,66.33191209361624
-35.65,-7.6,Aroeiras,2501302,281.0,61.16483131660928
-35.6,-7.6,Aroeiras,2501302,320.0,56.06547979934515
-35.55,-7.6,Natuba,2509909,422.0,51.05415622081683
-35.5,-7.6,Natuba,2509909,602.0,46.15953982500061
-38.65,-7.55,Conceição,2504405,483.0,388.58479530659787
-38.6,-7.55,Conceição,2504405,450.0,383.06800982302093
-38.55,-7.55,Conceição,2504405,433.0,377.5513800308724
-38.5,-7.55,Conceição,2504405,383.0,372.03491285605236
-38.45,-7.55,Conceição,2504405,356.0,366.5186156412142
-38.4,-7.55,Ibiara,2506608,404.0,361.0024961775755
-38.35,-7.55,Santana de Mangueira,2513505,361.0,355.48656273968606
-38.3,-7.55,Santana de Mangueira,2513505,437.0,349.9708241234687
-38.25,-7.55,Diamante,2505600,420.0,344.4552896879229
-38.2,-7.55,Curral Velho,2505303,346.0,338.9399694008798
-38.15,-7.55,Curral Velho,2505303,376.0,333.4248738892984
-38.1,-7.55,Curral Velho,2505303,445.0,327.91001449462885
-38.05,-7.55,Princesa Isabel,2512309,547.0,322.39540333383735
-38.0,-7.55,Princesa Isabel,2512309,411.0,316.88105336680445
-37.95,-7.55,Tavares,2516607,452.0,311.36697847085657
-37.9,-7.55,Tavares,2516607,585.0,305.8531935233519
-37.85,-7.55,Juru,2508000,568.0,300.33971449334325
-37.8,-7.55,Juru,2508000,668.0,294.82655854349406
-37.75,-7.55,Juru,2508000,744.0,289.3137441436287
-37.7,-7.55,Água Branca,2500106,785.0,283.80129119747966
-37.65,-7.55,Água Branca,2500106,685.0,278.28922118446417
-37.15,-7.55,Ouro Velho,2510600,633.0,223.19582308267826
-37.1,-7.55,Ouro Velho,2510600,655.0,217.69004263464768
-37.05,-7.55,Amparo,2500734,637.0,212.18511090588333
-37.0,-7.55,Amparo,2500734,639.0,206.6810957130759
-36.95,-7.55,Sumé,2516300,604.0,201.17807228254293
-36.9,-7.55,Sumé,2516300,610.0,195.67612428865633
-36.85,-7.55,Sumé,2516300,621.0,190.17534507156026
-36.8,-7.55,Serra Branca,2515500,581.0,184.6758390713073
-36.75,-7.55,Serra Branca,2515500,548.0,179.1777235245595
-36.7,-7.55,Serra Branca,2515500,527.0,173.68113048153194
-36.65,-7.55,Serra Branca,2515500,523.0,168.18620921582595
-36.6,-7.55,Serra Branca,2515500,537.0,162.6931291191598
-36.55,-7.55,São João do Cariri,2514008,550.0,157.2020831984265
-36.5,-7.55,São João do Cariri,2514008,505.0,151.71329232606453
-36.45,-7.55,São Domingos do Cariri,2513943,493.0,146.2270104394198
-36.4,-7.55,São Domingos do Cariri,2513943,458.0,140.74353094488418
-36.35,-7.55,São Domingos do Cariri,2513943,416.0,135.26319466419747
-36.3,-7.55,Cabaceiras,2503100,394.0,129.78639977225163
-36.25,-7.55,Barra de São Miguel,2501708,380.0,124.31361433112812
-36.2,-7.55,Boqueirão,2502508,557.0,118.84539224320635
-36.15,-7.55,Boqueirão,2502508,449.0,113.38239375653454
-36.1,-7.55,Boqueirão,2502508,411.0,107.92541210312696
-36.05,-7.55,Barra de Santana,2501575,413.0,102.47540850586893
-36.0,-7.55,Barra de Santana,2501575,391.0,97.03355876400336
-35.95,-7.55,Barra de Santana,2501575,360.0,91.60131610144758
-35.9,-7.55,Barra de Santana,2501575,401.0,86.18049723559497
-35.85,-7.55,Gado Bravo,2506251,430.0,80.77340220133819
-35.8,-7.55,Gado Bravo,2506251,544.0,75.38298421879469
-35.75,-7.55,Aroeiras,2501302,440.0,70.01309537101184
-35.7,-7.55,Aroeiras,2501302,347.0,64.66884987594287
-35.65,-7.55,Aroeiras,2501302,299.0,59.357174564422046
-35.6,-7.55,Aroeiras,2501302,241.0,54.08766594532235
-35.55,-7.55,Natuba,2509909,409.0,48.87396494762394
-35.5,-7.55,Natuba,2509909,563.0,43.736034332548044
-34.95,-7.55,Caaporã,2503001,79.0,1.3726684064036405
-34.9,-7.55,Caaporã,2503001,7.0,0.7352133389676083
-34.85,-7.55,Pitimbu,2511905,19.0,1.224118473443458
-34.8,-7.55,Pitimbu,2511905,0.0,2.8725403481118503
-38.65,-7.5,Conceição,2504405,562.0,388.38307037028864
-38.6,-7.5,Conceição,2504405,545.0,382.86337818672615
-38.55,-7.5,Conceição,2504405,487.0,377.3437567656291
-38.5,-7.5,Conceição,2504405,448.0,371.8242092583436
-38.45,-7.5,Ibiara,2506608,416.0,366.3047390061096
-38.4,-7.5,Ibiara,2506608,337.0,360.78534955458264
-38.35,-7.5,Ibiara,2506608,364.0,355.2660446697077
-38.3,-7.5,Diamante,2505600,420.0,349.74682835508577
-38.25,-7.5,Diamante,2505600,388.0,344.2277048710241
-38.2,-7.5,Curral Velho,2505303,356.0,338.7086787554333
-38.15,-7.5,Curral Velho,2505303,413.0,333.1897548468088
-38.1,-7.5,Curral Velho,2505303,451.0,327.67093830953286
-38.05,-7.5,Pedra Branca,2511004,401.0,322.15223466176616
-38.0,-7.5,Nova Olinda,2510204,339.0,316.63364980626676
-37.95,-7.5,Tavares,2516607,585.0,311.1151900644725
-37.9,-7.5,Juru,2508000,508.0,305.5968622142821
-37.85,-7.5,Juru,2508000,603.0,300.0786735320005
-37.8,-7.5,Juru,2508000,590.0,294.56063183898544
-37.75,-7.5,Juru,2508000,623.0,289.04274555364134
-37.7,-7.5,Água Branca,2500106,758.0,283.525023749472
-37.65,-7.5,Água Branca,2500106,802.0,278.0074762200427
-37.6,-7.5,Água Branca,2500106,758.0,272.4901135518213
-37.55,-7.5,Imaculada,2506707,696.0,266.97294720603935
-37.1,-7.5,Ouro Velho,2510600,614.0,217.32975145859973
-37.05,-7.5,Amparo,2500734,648.0,211.81545622764176
-37.0,-7.5,Sumé,2516300,713.0,206.3015790825161
-36.95,-7.5,Sumé,2516300,700.0,200.78815446659712
-36.9,-7.5,São José dos Cordeiros,2514800,649.0,195.27522071018555
-36.85,-7.5,Serra Branca,2515500,665.0,189.76282059420654
-36.8,-7.5,Serra Branca,2515500,607.0,184.25100201484224
-36.75,-7.5,Serra Branca,2515500,681.0,178.7398187708197
-36.7,-7.5,Serra Branca,2515500,518.0,173.2293315005427
-36.65,-7.5,Serra Branca,2515500,511.0,167.71960880341803
-36.6,-7.5,Serra Branca,2515500,493.0,162.21072858897344
-36.55,-7.5,São João do Cariri,2514008,500.0,156.70277970957312
-36.5,-7.5,São João do Cariri,2514008,517.0,151.19586394870697
-36.45,-7.5,São João do Cariri,2514008,489.0,145.6900984584477
-36.4,-7.5,Cabaceiras,2503100,469.0,140.18561876888646
-36.35,-7.5,Cabaceiras,2503100,465.0,134.6825825322138
-36.3,-7.5,Cabaceiras,2503100,408.0,129.1811742190971
-36.25,-7.5,Cabaceiras,2503100,426.0,123.68161106183273
-36.2,-7.5,Boqueirão,2502508,376.0,118.18415064729945
-36.15,-7.5,Boqueirão,2502508,383.0,112.68910071849824
-36.1,-7.5,Boqueirão,2502508,379.0,107.19683197003437
-36.05,-7.5,Barra de Santana,2501575,395.0,101.70779495804001
-36.0,-7.5,Barra de Santana,2501575,340.0,96.22254274955164
-35.95,-7.5,Barra de Santana,2501575,404.0,90.74176171035758
-35.9,-7.5,Queimadas,2512507,361.0,85.26631404345089
-35.85,-7.5,Gado Bravo,2506251,292.0,79.79729763570407
-35.8,-7.5,Aroeiras,2501302,315.0,74.3361319716936
-35.75,-7.5,Aroeiras,2501302,361.0,68.88468429347992
-35.7,-7.5,Aroeiras,2501302,556.0,63.4454596567732
-35.65,-7.5,Aroeiras,2501302,554.0,58.02189568648434
-35.6,-7.5,Aroeiras,2501302,145.0,52.618835165696915
-35.55,-7.5,Natuba,2509909,354.0,47.24331335208797
-35.5,-7.5,Natuba,2509909,638.0,41.90592924539224
-35.0,-7.5,Pedras de Fogo,2511202,39.0,1.6363916650411732
-34.95,-7.5,Caaporã,2503001,47.0,3.1675951593481213
-34.9,-7.5,Caaporã,2503001,17.0,4.105490755418268
-34.85,-7.5,Pitimbu,2511905,22.0,4.137627253018354
-34.8,-7.5,Pitimbu,2511905,0.0,1.4537692765365149
-38.65,-7.45,Conceição,2504405,536.0,388.2599698417731
-38.6,-7.45,Conceição,2504405,652.0,382.73850235876984
-38.55,-7.45,Conceição,2504405,549.0,377.2170536989019
-38.5,-7.45,Conceição,2504405,528.0,371.69562470101056
-38.45,-7.45,Ibiara,2506608,607.0,366.1742162545256
-38.4,-7.45,Ibiara,2506608,470.0,360.6528293033404
-38.35,-7.45,Ibiara,2506608,358.0,355.1314648500478
-38.3,-7.45,Diamante,2505600,335.0,349.61012396056816
-38.25,-7.45,Boa Ventura,2502102,315.0,344.08880776923695
-38.2,-7.45,Boa Ventura,2502102,361.0,338.56751748437614
-38.15,-7.45,Boa Ventura,2502102,373.0,333.04625439442873
-38.1,-7.45,Pedra Branca,2511004,322.0,327.52501987471385
-38.05,-7.45,Pedra Branca,2511004,301.0,322.0038153948671
-38.0,-7.45,Nova Olinda,2510204,320.0,316.4826425270738
-37.95,-7.45,Santana dos Garrotes,2513604,381.0,310.9615029551646
-37.9,-7.45,Santana dos Garrotes,2513604,431.0,305.44039848470754
-37.85,-7.45,Juru,2508000,550.0,299.91933105421356
-37.8,-7.45,Juru,2508000,565.0,294.3983027475945
-37.75,-7.45,Juru,2508000,546.0,288.877315808059
-37.7,-7.45,Água Branca,2500106,615.0,283.3563726536261
-37.65,-7.45,Água Branca,2500106,647.0,277.83547589449336
-37.6,-7.45,Água Branca,2500106,752.0,272.3146283525115
-37.55,-7.45,Imaculada,2506707,761.0,266.79383308307683
-37.5,-7.45,Imaculada,2506707,822.0,261.27309339980314
-37.0,-7.45,São José dos Cordeiros,2514800,645.0,206.06973665053692
-36.95,-7.45,São José dos Cordeiros,2514800,605.0,200.5499384327606
-36.9,-7.45,São José dos Cordeiros,2514800,585.0,195.03027112398138
-36.85,-7.45,São José dos Cordeiros,2514800,564.0,189.51074616272035
-36.8,-7.45,São José dos Cordeiros,2514800,545.0,183.9913763597506
-36.75,-7.45,Serra Branca,2515500,565.0,178.47217611019224
-36.7,-7.45,Serra Branca,2515500,514.0,172.95316164617205
-36.65,-7.45,Serra Branca,2515500,487.0,167.4343513394237
-36.6,-7.45,Serra Branca,2515500,467.0,161.9157660657158
-36.55,-7.45,São João do Cariri,2514008,519.0,156.3974296463628
-36.5,-7.45,São João do Cariri,2514008,481.0,150.8793693865331
-36.45,-7.45,São João do Cariri,2514008,494.0,145.36161673603587
-36.4,-7.45,Cabaceiras,2503100,467.0,139.84420810636945
-36.35,-7.45,Cabaceiras,2503100,491.0,134.32718588889063
-36.3,-7.45,Cabaceiras,2503100,411.0,128.81059973428705
-36.25,-7.45,Cabaceiras,2503100,458.0,123.29450817507023
-36.2,-7.45,Boqueirão,2502508,424.0,117.77898070328835
-36.15,-7.45,Boqueirão,2502508,440.0,112.26410045970101
-36.1,-7.45,Caturité,2504355,401.0,106.74996775500114
-36.05,-7.45,Caturité,2504355,436.0,101.23670473948029
-36.0,-7.45,Queimadas,2512507,575.0,95.72446168284934
-35.95,-7.45,Queimadas,2512507,389.0,90.21342555064251
-35.9,-7.45,Queimadas,2512507,355.0,84.70383191944973
-35.85,-7.45,Queimadas,2512507,321.0,79.19598185036374
-35.8,-7.45,Fagundes,2506103,245.0,73.69026630291852
-35.75,-7.45,Fagundes,2506103,242.0,68.18720232928169
-35.7,-7.45,Itatuba,2507200,222.0,62.68748824399679
-35.65,-7.45,Itatuba,2507200,141.0,57.192090452572806
-35.6,-7.45,Itatuba,2507200,144.0,51.70238529774793
-35.55,-7.45,Natuba,2509909,123.0,46.2204012073194
-35.5,-7.45,Salgado de São Félix,2513109,291.0,40.74925443737369
-35.45,-7.45,Salgado de São Félix,2513109,517.0,35.29398523524129
-35.4,-7.45,Salgado de São Félix,2513109,235.0,29.863296159606204
-35.35,-7.45,Itabaiana,2506905,173.0,24.47355569578514
-35.0,-7.45,Pedras de Fogo,2511202,58.0,0.48855375307691634
-34.95,-7.45,Caaporã,2503001,71.0,4.128668091982702
-34.9,-7.45,Alhandra,2500601,8.0,9.401096647878097
-34.85,-7.45,Pitimbu,2511905,4.0,4.332208563938917
-34.8,-7.45,Pitimbu,2511905,0.0,1.3005987237437373
-38.6,-7.4,Conceição,2504405,643.0,382.69346041396636
-38.55,-7.4,Conceição,2504405,538.0,377.1713523811985
-38.5,-7.4,Conceição,2504405,693.0,371.64924441959585
-38.45,-7.4,Conceição,2504405,625.0,366.12713653237734
-38.4,-7.4,Diamante,2505600,543.0,360.60502872295945
-38.35,-7.4,Diamante,2505600,404.0,355.08292099497373
